"filename", "language", "JavaScript", "vue", "C#", "JSON", "XML", "JSON with Comments", "HTML", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\BackgroundServices\ExpirationService.cs", "C#", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 13, 95
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\BackgroundServices\ReminderService.cs", "C#", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 14, 101
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\AdminController.cs", "C#", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 9, 166
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\AuthController.cs", "C#", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 35, 192
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\BaseController.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\CartController.cs", "C#", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 29, 214
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\CategoriesController.cs", "C#", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 36, 208
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\FavoritesController.cs", "C#", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 8, 73
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\FilterController.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\NotificationController.cs", "C#", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 10, 66
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\OrdersController.cs", "C#", 0, 0, 351, 0, 0, 0, 0, 0, 0, 3, 65, 419
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\PharmaciesController.cs", "C#", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 39, 270
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\ProductsController.cs", "C#", 0, 0, 286, 0, 0, 0, 0, 0, 0, 17, 61, 364
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\RemindersController.cs", "C#", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 30, 157
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\ReviewsController.cs", "C#", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 47, 289
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\StocksController.cs", "C#", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 23, 179
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\Controllers\UsersController.cs", "C#", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 51, 258
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\AdminDTO.cs", "C#", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\CartDTO.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\CategoryDTO.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\FavoriteDTO.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\ImportDTO.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\MedicationDTO.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\OrderDTO.cs", "C#", 0, 0, 51, 0, 0, 0, 0, 0, 0, 5, 11, 67
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\PharmacyStockDTO.cs", "C#", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 19, 110
"d:\pharmacy\backend\pharmacyBackend\pharmacyBackend\DTO\ProductDTO.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 0, 0, 26, 18, 87
